title,price,brand,quantity,product_code
"Cothas Coffee Coffee Powder Extra Strong, 500 g Pouch",,Cothas Coffee,500 g,186232
"Horlicks Nutrition Drink, 2x1 kg Multipack",₹938,Horlicks,2x1 kg,1215810
"3 Roses Tea, 250 g",₹220,3 Roses,250 g,266596
"Boost Nutrition Drink - Energy & Sports, 2x750 g Multipack",₹938,Boost,2x750 g,1215809
"Kinley Drinking Water With Added Minerals, 1 L Pack of 15",₹300,Kinley,1 L,204569
"Tata Tea Gold Care Goodness Of 5 Natural Flavours, 500 g",₹295,Tata Tea Gold Care,500 g,40201467
"Bayars Coffee - Special Gold, 500 g",₹280,Bayars,500 g,40017344
"Storia 100% Tender Coconut Water - No Added Sugar, 2 x 1 L (Multipack)",₹340,Storia,2 x 1 L,1223246
"Lipton Darjeeling Tea, 250 g",₹495,Lipton,250 g,262810
"Pediasure 7+ Specialized Nutrition Drink Powder With Oats & Almonds - Chocolate Flavour, 2 x 400 g Multipack",₹1230,Pediasure,2 x 400 g,1224843
"Maaza Mango Drink, 12x1.2 L Multipack",₹840,Maaza,12x1.2 L,1207021
"Sprite Soft Drink - Lime Flavoured, 24x750 ml Multipack",₹960,Sprite,24x750 ml,1212262
"Raw Pressery Cold Extracted Juice - Valencia Orange, 3x1 L Multipack",₹1050,Raw Pressery,3x1 L,1212124
"Pediasure Nutrition Drink Powder - Chocolate Flavour, Nutrition For Kids Growth, 1.9 kg Box",₹2480,Pediasure,1.9 kg,40241644
"Tropicana Fruit Juice - Delight, Litchi, 2x1 L Multipack",₹246,Tropicana,2x1 L,1206975
"Pediasure Nutrition Drink Vanilla Delight, 2 x 2 kg Multipack",₹5510,Pediasure,2 x 2 kg,1223561
"Real Fruit Power Mixed Fruit Juice, 12 x 180 ml Multipack",₹240,Real,12 x 180 ml,1223221
"Real Activ 100 % Apple Juice - With No Added Sugar and Preservative, 3x1 L Multipack",₹465,Real Activ,3x1 L,1209770
"Tropicana Fruit Juice - Delight, Orange, 12x200 ml Multipack",₹240,Tropicana,12x200 ml,1207018
"Mirinda Soft Drink, 2.25 L",₹100,Mirinda,2.25 L,40094180
"Schweppes Soda - Original Ginger Ale, 6x300 ml Multipack",₹360,Schweppes,6x300 ml,1208190
"Ensure Diabetes Care Nutrition Drink - Helps Control Blood Sugar Levels, Vanilla Flavour, 1 kg Box",₹1815,Ensure,1 kg,40247795
"Tropicana Fruit Juice - Delight, Apple, 3x1 L Multipack",₹339,Tropicana,3x1 L,1205606
"Continental Xtra Coffee, 2 x 50 g Multipack",₹340,Continental,2 x 50 g,1227712
"Schweppes Indian Tonic Water, 6x300 ml Multipack",₹360,Schweppes,6x300 ml,1208192
"Himalayan Natural Mineral Water, 12x1 L Multipack",₹960,Himalayan,12x1 L,1208787
"Tata Coffee Grand Classic Instant Coffee - Flavour Locked Decoction Crystals, Strong Taste & Rich Aroma, 100 g Pouch",₹220,Tata Coffee,100 g,40279034
"Fanta Soft Drink - Orange Flavoured, Refreshing, 2 l Pet Bottle",₹95,Fanta,2 l,251041
"Bayars Coffee - Eighty Degree, 500 g",₹280,Bayars,500 g,40017345
"Yoga Bar 100% Rolled Oats - High In Fibre, Gluten-Free, Ideal Breakfast For Weight Loss, 1 kg",₹490,Yoga Bar,1 kg,40221314
"MAGGI  2-Minute Instant Noodles - Masala, 280 g Pouch",₹56,MAGGI,280 g,266162
"bb Royal Elbow Macaroni, 400 g Pouch",₹60,bb Royal,400 g,40202441
"iD fresho! Idly & Dosa Batter, 2 kg",₹149,iD fresho!,2 kg,294904
"Haldiram's Namkeen - Bhujia Sev, 2x1 kg Multipack",₹520,Haldiram's,2x1 kg,1202575
